Key,Description for humans,English,Japanese,Korean,Chinese
qu_bottom_right_y_level,"Quadrant, step 3, y axis description","<b>AI disruption | <green>High</green></b>
AI has already disrupted discovery as inspiration, search, and decision-making have been compressed. There’s high risk of service disintermediation as core features are sticky today, but AI agents are rapidly learning to replicate workflows.","<b>AIディスラプション｜<green>高い</green></b>
AIによってインスピレーション、検索、意思決定がひとつに凝縮され、発見プロセスに大きな変化が生じています。コア機能には顧客を惹きつける力がありますが、AIエージェントによるワークフローの学習と再現が急速に進み、サービスが中抜きされるリスクが高まっています。
","<b>AI로 인한 변화 | <green>높음</green></b>
AI는 영감, 탐색, 의사결정 단계를 하나로 압축하며 이 영역의 발견(Discovery) 방식 전반에 이미 큰 변화를 만들어내고 있습니다. 현재로서는 핵심 기능에 대한 사용자 의존도가 높아 서비스가 즉각적으로 대체될 가능성은 제한적이지만, AI 에이전트가 업무 흐름을 빠르게 학습·재현하면서 기존 서비스의 역할이 일부 대체될 가능성은 점차 커지고 있습니다.
","<b>AI 颠覆 | <green>高</green></b>
尽管 AI 已显著影响发现流程，但当前核心功能仍具有较强粘性。不过，AI 智能体正在快速学习并复制既有工作流，服务被替代的风险正在上升。
"
qu_bottom_right_x_level,"Quadrant, step 3, x axis description","<b>Customer relationship strength | <green>High</green></b>
Deep reliance within daily workflows and a history of organic acquisition signifies  strong customer loyalty.","<b>顧客関係の強度｜<green>高い</green></b>
日常的なワークフローに深く組み込まれていることに加え、自然流入での顧客獲得の実績が、高い顧客ロイヤルティを示しています。
","<b>고객 관계 강도 | <green>높음</green></b>
해당 산업군은 일상 속에 깊이 자리 잡은 사용 경험과 오랜 기간 축적된 오가닉 유저 확보 기반을 바탕으로 높은 수준의 고객 충성도를 유지하고 있습니다.
","<b>客户关系强度 | <green>高</green></b>
这些行业往往深度嵌入用户的日常工作流，并长期依赖自然获客，体现出强劲的客户忠诚度。
"
qu_bottom_right_description,"Quadrant, step 3 body text","Contested companies need to <b>defend and differentiate</b>:

1. Elevate existing switching costs by integrating AI capabilities that will be indispensable to customers.
2. Shape industry standards by leveraging scale and trust to define how AI integrates into this vertical (i.e., data partnerships, proprietary agents)
3. Find new pockets of growth and re-engage existing users by diversifying media spend away from disrupted discovery channels like paid search and programmatic display (web) to more resilient channels like mobile apps","「激戦」の領域に属する企業は、以下によって<b>防御し、差別化</b>する必要があります。

1. AIによって強化されたサービスを、顧客のエコシステム内で不可欠なものにすることによって、既存の乗り換え障壁をさらに高める。
2. 自社の規模と信頼を活かし、データパートナーシップや独自エージェントの構築などを通じて、業界におけるAI統合の標準を定義・主導する。
3. 有料検索やプログラマティックディスプレイ広告（Web）といった、AIディスラプションの影響を受けている発見チャネルから、モバイルアプリなど、影響を受けにくいチャネルへとメディア投資を分散させることによって、新たな成長機会を見つけ、既存ユーザーのリエンゲージメントを図る。
","경쟁이 심화된(Contested) 영역의 기업이 고려해야 할 전략

경쟁이 심화된 영역에 속한 기업들은 이미 확보한 경쟁력을 지켜내는 동시에, AI 환경에서도 차별화된 위치를 유지할 수 있는 전략이 필요합니다.

1. 고객 이탈 방지 요소 강화: AI 기반 기능을 서비스 전반에 깊이 통합하고 고객이 생태계 안에서 대체하기 어려운 서비스로 자리 잡아야 합니다.
2. 산업 내 AI 활용 방식 선도: 규모와 신뢰를 바탕으로 데이터 파트너십을 확대하거나 독자적인 AI 기능·에이전트를 구축해, 해당 산업에서 AI가 어떻게 활용되어야 하는지에 대한 기준과 방향을 주도적으로 제시해야 합니다.
3. 미디어 전략 다각화와 재성장 기회 발굴: 유료 검색이나 프로그래매틱 디스플레이(웹)처럼 발견 단계에서 이미 변화가 크게 나타난 채널에 대한 의존을 줄이고, 모바일 앱과 같이 상대적으로 회복력이 높은 채널로 미디어 전략을 확장함으로써 새로운 성장 기회를 발굴하고 기존 유저와의 접점을 다시 강화할 수 있습니다.
","处于争夺中的企业，需要同时防守并拉开差异：
1. 将 AI 增强型能力打造为生态体系中不可或缺的一环，进一步提高转换成本
2. 借助规模和信任优势，参与甚至主导行业标准，定义 AI 在该垂直行业中的应用方式（如数据合作、专有智能体）
3. 调整媒体策略，将投入从受冲击的发现渠道，转向更具韧性的渠道（如移动 App），以实现持续增长"
qu_top_right_title,"Quadrant, step 4 title",<b>Secured</b>,<b>安泰</b>,<b>안정적인 영역 (Secured)</b>,<b>Secured（已稳固）</b>
qu_top_right_headline,"Quadrant, step 4 headline",Low AI disruption and strong customer relationships combine to create resilience.,AIディスラプションによる影響の少なさに加え、顧客関係の強さが、高いレジリエンスにつながっています。,"AI로 인한 변화 영향이 상대적으로 낮고, 견고한 고객 관계를 바탕으로 높은 회복력과 안정성을 갖춘 산업군입니다.
",较低的 AI 颠覆风险与强大的客户关系相结合，使这些行业具备高度韧性。
qu_top_right_y_level,"Quadrant, step 4, y axis description","<b>AI disruption | <green>Moderate to Low</green></b>
Discovery disruption is moderate due to a mix of reliance on disrupted and more resilient channels. There’s a low risk of service disruption as core functionalities can’t easily be replicated.","<b>AIディスラプション｜<green>中程度〜低い</green></b>
AIの影響を大きく受けているチャネルとレジリエンスの高いチャネルの両方に依存しているため、発見プロセスにおけるディスラプションリスクは中程度にとどまっています。また、コア機能が代替不可能なため、サービスのディスラプションリスクは低いです。
","<b>AI로 인한 변화 | <green>중간~낮음</green></b>
해당 산업군은 변화의 영향이 큰 채널과 상대적으로 회복력이 높은 채널을 균형 있게 활용하고 있어, 발견 단계에서의 변화 수준은 중간 정도에 머물러 있습니다. 또한 핵심 기능이 AI로 쉽게 재현되기 어려워, 서비스 자체가 직접적으로 대체될 가능성은 낮은 편입니다.
","<b>AI 颠覆 | <green>中等至低</green></b>
发现阶段受到一定冲击，但由于渠道组合中包含更具韧性的选项，整体风险可控。核心功能难以被复制，使服务颠覆风险保持在较低水平。
"
qu_top_right_x_level,"Quadrant, step 4, x axis description","<b>Customer relationship strength | <green>High</green></b>
Habitual engagements, organic pull, and trust all drive high customer loyalty. ","<b>顧客関係の強度｜<green>高い</green></b>
習慣的な利用、自然流入による集客力、信頼が、高い顧客ロイヤルティにつながっています。
","<b>고객 관계 강도 | <green>높음</green></b>
일상 속에서 자연스럽게 이어지는 사용 경험과 지속적인 자발적 유입, 그리고 오랜 시간에 걸쳐 쌓아온 신뢰가 결합되며 높은 수준의 고객 충성도가 형성되어 있습니다.
","<b>客户关系强度 | <green>高</green></b>
高频互动、自然吸引力与长期信任，共同支撑了稳固的客户忠诚度。
"
qu_top_right_description,"Quadrant, step 4 body text","Secured companies can <b>accelerate their advantage</b>:

1. Reimagine customer connection with AI-powered experiences, shifting from generic engagement to personalized, proactive relationships 
2. Find new pockets of growth and re-engage existing users by diversifying media spend away from disrupted discovery channels like paid search and programmatic display (web) to more resilient channels like mobile apps","「安泰」の領域に属する企業は、以下によって <b>優位性を高める</b>ことができます。

1. AIを活用した顧客体験を通じて顧客とのつながりを再構築し、一般的なロイヤルティから、パーソナライズされたプロアクティブな関係性へと移行する。
2. 有料検索やプログラマティックディスプレイ広告（Web）といった、AIディスラプションの影響を受けている発見チャネルから、モバイルアプリなど、影響を受けにくいチャネルへとメディア投資を分散させることによって、新たな成長機会を見つけ、既存ユーザーのリエンゲージメントを図る。
","안정 (Secured) 영역의 기업이 경쟁 우위를 더욱 강화하는 방법

해당 영역에 속한 기업들은 이미 확보한 강점을 바탕으로 경쟁 우위를 한층 더 확대할 수 있습니다.

1. AI 기반 경험을 통한 고객 관계 재정의: AI 기반 경험을 통해, 단순한 리워드 중심의 로열티를 넘어 개인화된 방식으로 고객의 니즈를 먼저 파악하고 대응하는 관계로 전환할 수 있습니다.
2. 미디어 전략 다각화와 재성장 기회 발굴: 유료 검색이나 프로그래매틱 디스플레이(웹)처럼 발견 단계에서 이미 변화가 크게 나타난 채널에 대한 의존을 줄이고, 모바일 앱과 같이 상대적으로 회복력이 높은 채널로 미디어 전략을 확장함으로써 새로운 성장 기회를 발굴하고 기존 유저와의 접점을 다시 강화할 수 있습니다.
","已稳固行业的企业，可以进一步放大自身优势：

1. 通过 AI 驱动的体验，重新定义客户连接方式，从泛化忠诚度转向更个性化、更主动的关系
2. 优化媒体结构，将预算从受冲击的发现渠道，转向更具韧性的触点，以持续激活用户价值"
qu_data_nudge,Vertical selection nudge,Selected vertical details will appear here.,業界を選択すると詳細を確認できます。,상세 내용을 확인할 산업군을 선택하세요.,请选择一个垂直行业，深入了解其具体表现。
qu_data_nudge_mobile,Vertical selection nudge (on mobile without selection possibilities),The details for the selected vertical will appear here.,選択した業界に関する詳細がこちらに表示されます。,선택한 산업군에 대한 상세 내용이 여기에 표시됩니다.,所选垂直行业的详细信息将显示在此处。
qu_select_vertical_prompt,Text in overlay over chart to get user to select a vertical,Select a vertical to explore details.,業界を選択すると詳細を確認できます。,산업군을 선택해 상세 내용을 확인하세요.,请选择一个垂直行业以查看详细信息。
qu_vertical_dropdown,Label for vertical dropdown,Select vertical,業界を選択,산업군 선택,选择垂直行业
qu_button_show_less,"On mobile, show less button in source display",Show less,一部を表示 ,접기,收起
qu_button_show_more,"On mobile, show more button in source display",Show more,さらに表示 ,더 보기,展开
qu_button_expand,"On mobile, expand content box",Expand,,,
qu_button_reduce,"On mobile, reduce content box",Reduce,,,
qu_button_next,Next button in chart panel,Next, 次へ,다음,下一步
qu_button_back,Back button in chart panel,Back,戻る,이전,返回
qu_button_index,Button in chart panel to go to verticals screen,Skip to index, インデックスへ<br>スキップ,인덱스로 이동,跳转至索引
qu_chart_logo_text,Text to introduce app / company logos,Example companies in category,このカテゴリーの企業例,해당 산업군의 대표 기업,示例公司
qu_axis_x_title,X axis title,Strength of customer relationship,顧客関係の強度,고객 관계 강도,客户关系强度
qu_axis_y_title,Y axis title,Risk of AI disruption,AIディスラプションのリスク,AI로 인한 변화 수준,AI 颠覆风险
qu_axis_low,Axis minimum label,Low,低,낮음,低
qu_axis_high,Axis maximum label,High,高,높음,高
qu_panel_button_summary,Button text to switch to summary side of the flipped card,Summary,サマリー,요약,概览
qu_panel_button_details,Button text to switch to details side of the flipped card,Details,詳細,상세 내용,详细信息
qu_panel_ai_risk,Chart Panel Label,AI Disruption Risk,AIディスラプションのリスク,AI로 인한 변화 수준,AI 颠覆风险
qu_panel_ai_risk_discovery,Chart Panel Label,Discovery,発見,발견,发现
qu_panel_ai_risk_service_disruption,Chart Panel Label,Service Disruption,サービスのディスラプション,서비스 변화,服务颠覆
qu_panel_ai_risk_data,Chart Panel Label,Data Access & Regulatory,データアクセスと規制に関連するリスク,데이터 접근 및 규제,数据获取与监管
qu_panel_customer,Chart Panel Label,Strength of Customer Relationship,顧客関係の強度,고객 관계 강도,客户关系强度
qu_panel_customer_acquisition,Chart Panel Label,Acquisition Strength,顧客獲得力,유입 경쟁력,获客能力
qu_panel_customer_acquisition_note,Chart Panel Label,% of non-paid traffic share,非有料トラフィックの割合,비유료 트래픽 비중(%),非付费流量占比
qu_panel_customer_loyalty,Chart Panel Label,Loyalty Strength,ロイヤルティの高さ,충성도 강도,忠诚度强度
qu_panel_customer_loyalty_note,Chart Panel Label,d30/d7 retention ratio,定着率（最初の30日／7日）,d30/d7 리텐션 비율,d30 / d7 留存比率
qu_panel_customer_engagement,Chart Panel Label,Platform Engagement,プラットフォームエンゲージメント,플랫폼 참여도,平台参与度
qu_panel_customer_engagement_note,Chart Panel Label,share of time spent on app vs. web,アプリとWebサイトの利用時間比率,앱 vs. 웹 사용 시간 비중,App 与 Web 的使用时长占比
qu_score_display_average,Average note at little lollipop chart,avg.,平均値,평균,平均值
qu_all_verticals,Used in mobile vertical selector,All verticals,すべての業界,전체 산업군,所有垂直行业
closure_title,Closure title,"While journeys shift, <b>relationships endure</b>",ジャーニーは<br>変化しても<br><b>関係は存続する</b>,"여정은 변화하지만, 관계는 지속됩니다",旅程在变化，关系却能延续
closure_paragraph_1,Closure paragraph 1,"Every vertical and company will face a unique set of opportunities and challenges, but there’s one strategic principle that’s consistent. Customer relationships are the durable asset of the AI future.",業界や企業によって、恵まれる機会や直面する課題は異なりますが、変わることのない共通する戦略原則があります。それは、顧客関係こそが、AI主導の未来において持続的に価値を生み続ける資産であるということです。,"산업과 기업마다 마주하는 기회와 과제는 서로 다르지만, 하나의 전략적 원칙만큼은 변하지 않습니다. AI 시대에도 가장 오래 지속되는 경쟁력은 고객 관계입니다.
","尽管不同行业和企业面临的机遇与挑战各不相同，但有一个战略共识始终成立：在 AI 时代，客户关系才是最具持久价值的资产。
"
closure_paragraph_2,Closure paragraph 2,Here are <b>three critical strategies</b> forward-looking CMOs are using to drive connections:,以下は先見性のあるCMOが実践している顧客関係の構築を推進する<b>3つの主要戦略</b>です。,"미래를 준비하는 CMO들은 다음과 같은 핵심 전략을 통해 고객과의 연결을 강화하고 있습니다.
","以下是前瞻型 CMO 正在采取的关键策略，用于构建更深层次的客户连接：
"
closure_card_1_title,Closure card 1 title,<b>Investing in the best digital experience for customers: mobile apps</b>,<b>モバイルアプリへの投資を通じて顧客に最高のデジタル体験を</b>,<b>고객을 위한 최고의 디지털 경험에 투자: 모바일 앱</b>,<b>投资于卓越的数字化客户体验：移动 App</b>
closure_card_1_summary,Closure card 1 summary,"While everyone fights for visibility in the disrupted world, surfaces where brands own the direct relationship are now a primary competitive advantage. That’s why brands are doubling down on creating great experiences on mobile, the stickiest surface for consumers. 

For marketers, mobile apps are a <b>critical digital strategy</b>. Investing in mobile apps means access to actionable first-party data, closed-loop measurement, and most importantly, continually deepening connections with customers. ","変化の激しい世界で各社が存在感を高めようと競い合う中、ブランドが顧客と直接的な関係を築ける場を持つことが、今や主要な競争優位性となっています。そのため、多くのブランドが、消費者にとって最も粘着性の高いプラットフォームである「モバイル」での体験向上に力を注いでいます。

マーケターにとって、モバイルアプリは<b>極めて重要なデジタル戦略<b>です。モバイルアプリへの投資によって、役立つファーストパーティデータの取得、クローズド・ループ・アトリビューション、そして何よりも顧客とのつながりを継続的に深めることが可能になります。","AI로 인한 변화가 가속화되는 환경에서 모든 브랜드가 가시성을 두고 경쟁하는 가운데, 고객과의 직접적인 접점은 이제 핵심적인 경쟁 우위가 되고 있습니다. 이에 따라 브랜드들은 소비자에게 가장 높은 몰입도를 제공하는 접점인 모바일 경험에 대한 투자를 더욱 강화하고 있습니다.

마케터에게 모바일 앱은 <b>핵심적인 디지털 전략</b>입니다. 모바일 앱을 중심으로 한 투자는 퍼스트파티 데이터에 대한 접근, 고객 여정 전반의 일관된 성과 측정, 그리고 고객과의 관계 강화를 가능하게 합니다.","在这个高速变革、人人争夺可见度的时代，品牌通过直接掌控客户关系的关键触点，构建起了最核心的竞争优势。这正是为什么越来越多品牌正在加大对移动端体验的投入——移动 App 是消费者黏性最高的数字触点。
对于营销人员而言，移动 App 是一项<b>至关重要的数字化战略</b>。投资移动 App，意味着可以获取可执行的一手数据，实现闭环效果衡量，更重要的是，持续深化与客户之间的连接。"
closure_card_1_text,Closure card 1 text,"Brands can curate and control the end-to-end <b>mobile app experience</b>, and make the most of first-party data to offer:
- Personalized content and discovery that learns from user behaviors and preferences
- AI-driven browsing, comparison, and assistance 
- Gamified interactions and exclusive access/rewards
- Community ecosystems and interactions that increase loyalty","ブランドは、エンドツーエンドの<b>モバイルアプリ体験<b>を自ら構成・管理できます。また、ファーストパーティデータを最大限に活用することで、以下を提供できます。
- ユーザーの行動や好みに基づいてパーソナライズされたコンテンツと発見体験
- AI主導のブラウジングや比較、アシスト
- ゲーム要素を取り入れたインタラクション、アプリ限定のアクセスや報酬
- ロイヤルティを高めるコミュニティエコシステムや交流","브랜드는 <b>모바일 앱 경험</b> 전반을 직접 설계하고 통제할 수 있으며, 퍼스트 파티 데이터를 기반으로 다음과 같은 가치를 제공할 수 있습니다.
- 유저 행동과 선호도를 학습해 제공하는 개인화된 콘텐츠 및 발견 
- AI 기반 탐색, 비교, 어시스턴트
- 게임화된 인터랙션과 독점 접근 권한 및 리워드
- 고객 충성도를 강화하는 커뮤니티 중심의 참여 경험","品牌可以对端到端的<b>移动 App 体验</b>进行策划与掌控，并充分利用一手数据，提供：
- 基于用户行为与偏好的个性化内容与发现体验
- AI 驱动的浏览、比价和客服支持
- 游戏化互动以及专属权益和奖励
- 强化忠诚度的社区生态与互动"
closure_card_2_title,Closure card 2 title,<b>Owning and activating customer signals</b>,<b>顧客のシグナルを保有して活用</b>,<b>고객 행동 데이터의 확보와 활용</b>,<b>掌控并激活客户信号</b>
closure_card_2_summary,Closure card 2 summary,"Customer signals will continue to be a critical differentiator as third-party signals become less reliable. The more brands can understand their customers, the stickier connections and relationships they can build.",サードパーティシグナルの信頼性が低下する中、顧客シグナルは今後も重要な差別化要因であり続けます。顧客に対する理解が深まるほど、より粘着性の高いつながりと関係を構築できます。,"서드 파티 데이터의 한계가 커지는 가운데, 고객 행동 데이터는 앞으로도 브랜드 경쟁력을 좌우하는 핵심 차별 요소로 자리 잡고 있습니다. 브랜드가 고객을 더 깊이 이해할수록, 관계는 더욱 견고해지고 지속적으로 강화됩니다.",随着第三方信号的可靠性不断下降，客户信号将持续成为关键差异化要素。品牌对客户理解得越深入，就越能建立更具黏性的连接与关系。
closure_card_2_text,Closure card 2 text,"<b>Customer expectations</b> are higher than ever, and making the most of the customer signal can be the primary difference-maker in being able to understand and meet those needs. Key strategies include:
- Embed data capture throughout the customer journey, not just at conversion.
- Build unified profiles that connect web, app, and offline behavior.
- Use AI to activate first-party data for personalization at scale.
- Drive growth by effectively re-engaging lapsed users.","<b>顧客の期待</b>はかつてないほど高まっており、顧客のシグナルを最大限に活用できるかどうかによって、顧客のニーズを理解し、それに応えられるかが決まります。以下はそのための主な戦略の一部です。
- コンバージョンの時だけでなく、カスタマージャーニー全体を通じてデータを取得できる機能を組み込む
- Webサイト、アプリ、オフライン行動を結び付け、統合プロファイルを構築する
- AIを活用し、ファーストパーティデータに基づいて大規模なパーソナライゼーションを実施する
- 離脱したユーザーに対するリエンゲージメントを通じて成長を促進する","<b>고객의 기대치는</b> 그 어느 때보다 높아진 가운데, 고객 행동 데이터를 얼마나 효과적으로 활용하느냐가 이러한 니즈를 이해하고 충족할 수 있는지를 좌우하는 핵심 요인이 되고 있습니다. 주요 전략은 다음과 같습니다.
- 전환 시점에만 국한하지 않고 고객 여정 전반에 걸쳐 데이터 수집
- 웹, 앱, 오프라인 행동을 연결하는 통합 프로필 구축
- AI를 활용해 퍼스트 파티 데이터를 대규모 개인화에 적용
- 이탈한 유저를 효과적으로 재유입해 성장 가속화","<b>客户期望</b>正处于历史高位，能否充分激活客户信号，往往成为品牌是否真正理解并满足这些需求的关键差异点。核心策略包括：
- 在整个客户旅程中嵌入数据采集，而不仅限于转化阶段
- 构建统一的客户画像，打通 Web、App 与线下行为
- 利用 AI 激活一手数据，实现规模化个性化
- 通过有效唤醒流失用户来驱动增长"
closure_card_3_title,Closure card 3 title,<b>Rethinking channel mix in the new age of discovery</b>,<b>新しい「発見」の時代におけるチャネルミックスの再考</b>,<b>새로운 발견 환경에서의 채널 믹스 재정의</b>,<b>在全新的发现时代重新思考渠道组合</b>
closure_card_3_summary,Closure card 3 summary,"Find new pockets of growth and re-engage existing users by diversifying media spend away from disrupted discovery channels like paid search and programmatic display (web) to more resilient channels where discovery is happening, such as in-app advertising.",有料検索やプログラマティックディスプレイ広告（Web）といった、AIディスラプションの影響を受けている発見チャネルから、アプリ内広告など、発見が実際に起きている、よりレジリエンスの高いチャネルへとメディア投資を分散させることによって、新たな成長機会を見つけ、既存ユーザーのリエンゲージメントを図ります。,"유료 검색이나 프로그래매틱 디스플레이(웹)처럼 이미 변화의 영향을 크게 받고 있는 발견 채널에서 벗어나, 인앱 광고와 같이 실제 발견이 이루어지는 보다 안정적인 채널로 미디어 전략을 다각화함으로써 새로운 성장 기회를 발굴하고 기존 유저를 활성화할 수 있습니다.",通过将媒体预算从已被颠覆的发现渠道（如付费搜索和程序化展示 Web），转向发现正在发生、且更具韧性的渠道（如 App 内广告），寻找新的增长空间并重新激活现有用户。
closure_card_3_text,Closure card 3 text,"<b>Highly disrupted channels</b> include paid and organic search, programmatic display (web), and affiliate channels

More <b>resilient channels</b> are ones with direct engagement and access to first-party data, allowing for personalization and closed-looped performance, including:
- In-app marketing channels
- E-commerce and retail media
- Email and CRM","<b>AIディスラプションの影響が大きいチャネル</b>として、有料／オーガニック検索、プログラマティックディスプレイ広告（Web）、アフィリエイトなどのチャネルが挙げられます。

一方、以下のように、直接的なエンゲージメントとファーストパーティデータへのアクセスを提供し、パーソナライゼーションとクローズド・ループ・アトリビューションが可能なチャネルは<b>高いレジリエンスを発揮</b>します。
- アプリ内マーケティングチャネル
- Eコマースおよびリテールメディア
- EメールおよびCRM","<b>변화의 영향을 크게 받는 채널</b>에는 유료 및 오가닉 검색, 프로그래매틱 디스플레이(웹), 제휴 채널이 포함됩니다.

반면, <b>영향을 덜 받는, 보다 안정적인 채널</b>은 고객과의 직접적인 참여와 퍼스트파티 데이터에 대한 접근을 기반으로 개인화와 처음부터 끝까지 일관된 성과 측정이 가능한 채널로, 다음이 포함됩니다.
- 인앱 마케팅 채널
- 이커머스 및 리테일 미디어
- 이메일 및 CRM","<b>高度受冲击的渠道</b>包括付费与自然搜索、程序化展示（Web）以及联盟渠道。
<b>更具韧性的渠道</b>通常具备直接互动和一手数据访问能力，支持个性化与闭环效果衡量，包括：
- App 内营销渠道
- 电商与零售媒体
- 电子邮件和 CRM"
closure_explore,Label above buttons,Explore,詳細,살펴보기,探索更多
cta_text,CTA text,<green>Let’s <b>grow your app</b></green>,アプリの<br>成長を加速,앱 성장을 함께 만들어 보세요,让我们一起推动您的 App 增长
cta_text_button_1,CTA button 1,BCG Report,BCGレポート,BCG 리포트,获取 BCG 报告
cta_text_button_2,CTA button 2,Methodology,調査方法,방법론,方法论
cta_text_button_3,CTA button 3,contact us,お問い合わせ,문의하기,联系我们
cta_text_button_4,CTA button 4,Download,ダウンロード,다운로드,下载
